Ponto Turístico,Cidade,Latitude,Longitude
Parque Ibirapuera,São Paulo,"-23,5875","-46,6572"
Avenida Paulista,São Paulo,"-23,5674","-46,6482"
Serra da Cantareira,Mairiporã,"-23,3629","-46,6253"
Centro Histórico de Santos,Santos,"-23,9366","-46,3270"
Campos do Jordão,Campos do Jordão,"-22,7382","-45,5923"
Catedral da Sé,São Paulo,"-23,5505","-46,6333"
Museu do Ipiranga,São Paulo,"-23,5877","-46,6130"
Pico do Jaraguá,São Paulo,"-23,4655","-46,7882"
Parque Estadual da Cantareira,São Paulo,"-23,3709","-46,6245"
Bairro da Liberdade,São Paulo,"-23,5617","-46,6278"